1 77
1 21
1 22
1 20
1 36
1 15
1 62
1 95
1 20
1 5
1 4
1 19
1 96
1 62
1 36
1 15
1 65
1 14
1 87
1 69
1 89
1 51
1 89
1 27
1 97
1 58
1 79
1 21
1 93
1 27
1 99
1 31
1 33
1 80
1 28
1 47
1 53
1 69
1 28
1 33
1 91
1 71
1 50
1 76
1 4
1 37
1 70
1 68
1 40
1 35
1 94
1 88
1 52
1 31
1 59
1 0
1 39
1 64
1 69
1 57
1 13
1 72
1 76
1 61
1 82
1 18
1 41
1 50
1 55
1 13
1 46
1 13
1 79
1 53
1 15
1 28
1 81
1 69
1 52
1 84
1 68
1 27
1 56
1 48
1 40
1 39
1 82
1 100
1 59
1 43
1 67
1 38
1 63
1 91
1 60
1 14
1 21
1 87
1 73
1 32
1 2
1 82
1 19
1 74
1 42
1 12
1 1
1 90
1 89
1 0
1 41
1 16
1 94
1 97
1 66
1 24
1 17
1 90
1 13
1 0
1 64
1 96
1 98
1 12
1 41
1 47
1 78
1 20
1 89
1 29
1 64
1 75
1 12
1 25
1 28
1 30
1 65
1 59
1 64
1 53
1 71
1 97
1 73
1 9
1 12
1 63
1 99
1 60
1 35
1 2
1 60
1 32
1 94
1 84
1 63
1 22
1 81
1 93
1 33
1 7
1 42
1 46
1 54
1 16
1 49
1 43
1 95
1 66
1 21
1 35
1 80
1 37
1 54
1 56
1 1
1 32
1 58
1 32
1 46
1 72
1 17
1 97
1 93
1 91
1 37
1 4
1 54
1 51
1 27
1 46
1 92
1 73
1 77
1 91
1 61
1 99
1 4
1 72
1 19
1 57
1 78
1 26
1 74
1 90
1 66
1 13
1 40
1 77
1 67
1 75
1 23
1 45
1 59
1 44
1 23
1 55
1 55
1 95
1 12
1 4
1 7
1 100
1 48
1 42
1 96
1 39
1 100
1 87
1 14
1 14
1 37
1 5
1 88
1 91
1 65
1 74
1 56
1 16
1 5
1 28
1 92
1 46
1 54
1 39
1 44
1 31
1 68
1 86
1 90
1 38
1 21
1 95
1 56
1 60
1 65
1 78
1 89
1 6
1 67
1 36
1 16
1 100
1 45
1 73
1 57
1 20
1 76
1 34
1 55
1 72
1 55
1 8
1 56
1 72
1 58
1 6
1 96
1 23
1 58
1 23
1 19
1 25
1 64
1 21
1 59
1 19
1 16
1 42
1 43
1 61
1 92
1 11
1 41
1 1
1 8
1 71
1 46
1 55
1 62
1 47
